# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	720
#@/user_id	3f58877e-a7cc-40cc-b9f8-dce6e53b0ed7
a 	啊	c=4 d=3.03386 t=720
la feng 	拉風	c=0 d=0.175172 t=720
la ji 	垃圾	c=0 d=0.0826959 t=720
la kai 	拉開	c=0 d=0.248208 t=720
la se 	垃圾	c=2 d=1.89571 t=720
lai 	來	c=1 d=0.446514 t=720
lan 	攬	c=1 d=0.084163 t=720
lan ya 	藍牙	c=2 d=1.11012 t=720
lang fei 	浪費	c=0 d=0.195084 t=720
lao da 	老大	c=0 d=0.399279 t=720
le 	了	c=2 d=1.82465 t=720
le fa da fa la di 	了發達法拉第	c=1 d=0.99005 t=720
le fa da le 	了發達了	c=1 d=0.814647 t=720
li fa dian 	理髮店	c=0 d=0.194624 t=720
li fa dian la fang jing dian la 	理髮店啦防靜電啦	c=1 d=0.99005 t=720
li mian 	裏面	c=1 d=0.0689068 t=720
li yong 	利用	c=1 d=0.66365 t=720
liang ce 	兩側	c=1 d=0.185444 t=720
lin shi 	臨時	c=1 d=0.264197 t=720
lin shi ti huan 	臨時替換	c=1 d=0.164474 t=720
ling dao 	領導	c=0 d=0.0913931 t=720
liu cheng 	流程	c=1 d=0.370404 t=720
lu ka shen ke 	盧卡申科	c=0 d=0.0995012 t=720
lu zhi 	錄製	c=3 d=0.957414 t=720
luan ma 	亂碼	c=1 d=0.0780349 t=720
lv ka 	綠卡	c=0 d=0.0985112 t=720
lve wei 	略微	c=0 d=0.0219808 t=720
lve wei bu tong 	略微不同	c=1 d=0.22091 t=720
ma 	嗎	c=2 d=1 t=720
ma fan 	麻煩	c=1 d=0.882497 t=720
me 	麼	c=0 d=0.0909373 t=720
mei 	沒	c=0 d=0.00658748 t=720
mei ci 	每次	c=1 d=0.802519 t=720
mei kan dao 	沒看到	c=1 d=0.066205 t=720
mei nv 	美女	c=0 d=0.0909373 t=720
mei you 	沒有	c=0 d=0.0515885 t=720
mei you chuan kou 	沒有串口	c=1 d=0.227638 t=720
mei you zhong duan 	沒有中斷	c=1 d=0.290835 t=720
meng 	孟	c=7 d=2.45679 t=720
meng xiang peng 	孟祥朋	c=4 d=2.03367 t=720
min zhu 	民主	c=0 d=0.00824965 t=720
min zhu ji zhong 	民主集中	c=1 d=0.08291 t=720
ming ling 	命令	c=1 d=0.22313 t=720
ming ling hang 	命令行	c=1 d=0.2334 t=720
mo 	莫	c=0 d=0.0937067 t=720
mo ni 	模擬	c=0 d=0.0131994 t=720
mo ni yan zheng 	模擬驗證	c=1 d=0.132655 t=720
mo shi 	模式	c=1 d=0.225373 t=720
mu qian 	目前	c=3 d=0.564848 t=720
nei he 	內核	c=1 d=0.790571 t=720
nei rong 	內容	c=2 d=1.00379 t=720
neng li 	能力	c=0 d=0.0535261 t=720
ni 	你	c=0 d=0.099005 t=720
nin gou 	您夠	c=1 d=0.955997 t=720
nong min zeng shou 	農民增收	c=1 d=0.292293 t=720
o 	哦	c=0 d=0.189534 t=720
pai cha 	排查	c=2 d=0.204693 t=720
pan 	盤	c=1 d=0.748783 t=720
pei zhi 	配置	c=2 d=1.0484 t=720
ping 	屏	c=1 d=0.153355 t=720
ping shen 	評審	c=1 d=0.0792617 t=720
qi dong 	啓動	c=3 d=0.828023 t=720
qi dong shi 	啓動時	c=1 d=0.748264 t=720
qi ta 	其他	c=3 d=2.14639 t=720
